name,birthcity,birthstate,countryName,LAT,LON,birthyear,gender,occupation,industry,domain
Abraham Lincoln,Hodgenville,KY,United States,37.571111,-85.738611,1809,Male,Politician,Government,Institutions
Andre Agassi,Las Vegas,NV,United States,36.121514,-115.173851,1970,Male,Tennis Player,Individual Sports,Sports
Aldous Huxley,Godalming,NA,United Kingdom,51.185,-0.61,1894,Male,Writer,Language,Humanities
Alfred Hitchcock,Leytonstone,NA,United Kingdom,51.569,0.01,1899,Male,Film Director,Film And Theatre,Arts
Alexander Graham Bell,Edinburgh,NA,United Kingdom,55.953056,-3.188889,1847,Male,Inventor,Invention,Science & Technology
Andy Warhol,Pittsburgh,PA,United States,40.439722,-79.976389,1928,Male,Artist,Fine Arts,Arts
A. A. Milne,Hampstead,NA,United Kingdom,51.5541,-0.1744,1882,Male,Writer,Language,Humanities
Melvil Dewey,Adams Center,NY,United States,43.862222,-76.006944,1851,Male,Inventor,Invention,Science & Technology
Ada Lovelace,London,NA,United Kingdom,51.507222,-0.1275,1815,Female,Mathematician,Math,Science & Technology
Agatha Christie,Torquay,NA,United Kingdom,50.4792,-3.5305,1890,Female,Writer,Language,Humanities
Allen Ginsberg,Newark,NJ,United States,40.72422,-74.172574,1926,Male,Writer,Language,Humanities
Aleister Crowley,Royal Leamington Spa,NA,United Kingdom,52.292,-1.537,1875,Male,Religious Figure,Religion,Institutions
Alan Turing,Maida Vale,NA,United Kingdom,51.5274,-0.1899,1912,Male,Computer Scientist,Computer Science,Science & Technology
Alexander Mackenzie,Logierait,NA,United Kingdom,56.647558,-3.679711,1822,Male,Politician,Government,Institutions
Alcuin,York,NA,United Kingdom,53.958333,-1.080278,735,Male,Philosopher,Philosophy,Humanities
Alfred Russel Wallace,Llanbadoc,NA,United Kingdom,51.695833,-2.904167,1823,Male,Biologist,Natural Sciences,Science & Technology
Alexander I of Scotland,Dunfermline,NA,United Kingdom,56.07192,-3.4393,1078,Male,Politician,Government,Institutions
Alexander II of Scotland,Haddington,NA,United Kingdom,55.955621,-2.778815,1198,Male,Politician,Government,Institutions
Alexander III of Scotland,Roxburgh,NA,United Kingdom,55.5965,-2.4562,1241,Male,Politician,Government,Institutions
Andrew Jackson,Waxhaw,NC,United States,NA,NA,1767,Male,Politician,Government,Institutions
Andrew Johnson,Raleigh,NC,United States,35.780556,-78.638889,1808,Male,Politician,Government,Institutions
Alfred the Great,Oxfordshire,NA,United Kingdom,51.589,-1.427,849,Male,Politician,Government,Institutions
Alexander Selkirk,Lower Largo,NA,United Kingdom,56.214,-2.941,1676,Male,Pirate,Outlaws,Public Figure
Adam Smith,Kirkcaldy,NA,United Kingdom,56.11073,-3.16737,1723,Male,Economist,Social Sciences,Science & Technology
Alexander Fleming,Lochfield,NA,United Kingdom,NA,NA,1881,Male,Biologist,Natural Sciences,Science & Technology
