_id,Location,LocationName,Postcode,AddressLine
1,A101H,Arran War Memorial Hospital,KA27 8LF,"Lamlash, Isle of Arran"
2,A103H,Ayrshire Central Hospital,KA12 8SS,"Kilwinning Road, Irvine"
3,A105H,Kirklandside Hospital,KA1 5LH,"Kirklandside, Kilmarnock, Ayrshire"
4,A110H,Lady Margaret Hospital,KA28 0HF,"College St, Millport, Isle of Cumbrae"
5,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire"
6,A112H,Brooksby Day Hospital,KA30 8NE,"18 Greenock Road, Largs"
7,A114H,Warrix Avenue Mental Health Community Rehabilitation Unit,KA12 0DP,"Warrix Avenue, Irvine"
8,A201H,Ailsa Hospital,KA6 6AB,"Dalmellington Road, Ayr"
9,A202E,Maybole Day Hospital,KA19 7BY,"6 High Street, Maybole"
10,A208H,Biggart Hospital,KA9 2HQ,"Biggart Road, Prestwick"
11,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr"
12,A211H,Arrol Park Resource Centre,KA7 4DW,"10 Doonfoot Road, Ayr"
13,A214H,Three Towns Resource Centre,KA21 5RF,"Nelson Road, Saltcoats"
14,A215H,East Ayrshire Community Hospital,KA18 1EF,"Ayr Road, Cumnock"
15,A216H,Girvan Community Hospital,KA26 9HQ,"Bridgemill, Girvan, Ayrshire"
16,A217H,Woodland View,KA12 8SS,"Ayrshire Central Hospital, Kilwinning Road, Irvine"
17,B103H,The Knoll Hospital,TD11 3EL,"Station Road, Duns"
18,B104H,Galavale House,TD1 3EB,"Tweed Road, Galashiels"
19,B105H,Hawick Community  Hospital,TD9 7AH,"Victoria Road, Hawick"
20,B108H,Andrew Lang Unit,TD7 4LH,"Viewfield House, Selkirk"
21,B114H,Kelso Hospital,TD5 7JP,"Inch Road, Kelso"
22,B118H,Hay Lodge Hospital,EH45 8JG,"Neidpath Road, Peebles"
23,B120H,Borders General Hospital,TD6 9BS,Melrose
24,B121H,Hawick Psychiatric Day Hospital,TD9 7AH,"c/o Hawick Community Hospital, Victoria Road, Hawick"
25,B122H,Hawick Psychogeriatric Day Hospital,TD9 0BG,"West Port, Drumlanrig Square, Hawick"
26,B123H,Peebles Psychogeriatric Day Hospital,EH45 8BD,"Firholm, Innerleithen Road, Peebles"
27,B124H,Galashiels Psychogeriatric Day Hospital,TD1 1ST,"Sime Place, Galashiels"
28,B127H,Eyemouth Day Hospital,TD14 5DA,"Houndlaw Park, Eyemouth"
29,B128H,Crumhaugh House,TD9 0BA,"Crumhaugh Road, Hawick"
